"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:00:00:00",,"キックオフ",,,,,
="0:00:08:90",,,"山川哲史",,"ブロック",,
="0:00:09:87",,,"犬飼翔洋","ドリブル",,,
="0:00:10:54",,,"高嶺朋樹",,,"ファール",
="0:00:11:21",,,"阿部航斗",,,,"パンチング"
="0:00:12:34","ポゼッションスタート",,,,,,
="0:00:12:34","筑波大学",,,,,,
="0:00:23:52","ポゼッションエンド",,,,,,
="0:00:23:52","筑波大学",,,,,,
="0:00:29:19","ポゼッションスタート",,,,,,
="0:00:29:19","筑波大学",,,,,,
="0:00:36:70","ポゼッションエンド",,,,,,
="0:00:36:70","筑波大学",,,,,,
="0:01:09:30","ポゼッションスタート",,,,,,
="0:01:09:30","筑波大学",,,,,,
="0:01:17:01","ポゼッションエンド",,,,,,
="0:01:17:01","筑波大学",,,,,,
="0:01:54:41","ポゼッションスタート",,,,,,
="0:01:54:41","筑波大学",,,,,,
="0:02:30:88","ポゼッションエンド",,,,,,
="0:02:30:88","筑波大学",,,,,,
="0:02:58:61","ポゼッションスタート",,,,,,
="0:02:58:61","筑波大学",,,,,,
="0:03:12:69","ポゼッションエンド",,,,,,
="0:03:12:69","筑波大学",,,,,,
="0:03:17:13","ポゼッションスタート",,,,,,
="0:03:17:13","筑波大学",,,,,,
="0:03:31:47","ポゼッションエンド",,,,,,
="0:03:31:47","筑波大学",,,,,,
="0:03:46:02","ポゼッションスタート",,,,,,
="0:03:46:02","筑波大学",,,,,,
="0:03:50:23","ポゼッションエンド",,,,,,
="0:03:50:23","筑波大学",,,,,,
="0:03:52:96","ポゼッションスタート",,,,,,
="0:03:52:96","筑波大学",,,,,,
="0:03:59:70","ポゼッションエンド",,,,,,
="0:03:59:70","筑波大学",,,,,,
="0:04:53:32","ポゼッションスタート",,,,,,
="0:04:53:32","筑波大学",,,,,,
="0:05:01:36","ポゼッションエンド",,,,,,
="0:05:01:36","筑波大学",,,,,,
="0:05:05:37","ポゼッションスタート",,,,,,
="0:05:05:37","相手チーム",,,,,,
="0:05:22:18","ポゼッションエンド",,,,,,
="0:05:22:18","相手チーム",,,,,,
="0:05:34:80","ポゼッションスタート",,,,,,
="0:05:34:80","筑波大学",,,,,,
="0:06:04:43","ポゼッションエンド",,,,,,
="0:06:04:43","筑波大学",,,,,,
="0:06:08:96","ポゼッションスタート",,,,,,
="0:06:08:96","筑波大学",,,,,,
="0:06:30:59","ポゼッションエンド",,,,,,
="0:06:30:59","筑波大学",,,,,,
="0:06:35:99","ポゼッションスタート",,,,,,
="0:06:35:99","筑波大学",,,,,,
="0:06:48:07","ポゼッションエンド",,,,,,
="0:06:48:07","筑波大学",,,,,,
="0:06:51:67","ポゼッションスタート",,,,,,
="0:06:51:67","筑波大学",,,,,,
="0:07:40:62","ポゼッションエンド",,,,,,
="0:07:40:62","筑波大学",,,,,,
="0:08:09:28","ポゼッションスタート",,,,,,
="0:08:09:28","筑波大学",,,,,,
="0:08:39:08","ポゼッションエンド",,,,,,
="0:08:39:08","筑波大学",,,,,,
="0:09:40:78","ポゼッションスタート",,,,,,
="0:09:40:78","筑波大学",,,,,,
="0:10:16:24","ポゼッションエンド",,,,,,
="0:10:16:24","筑波大学",,,,,,
="0:10:46:37","ポゼッションスタート",,,,,,
="0:10:46:37","筑波大学",,,,,,
="0:11:18:37","ポゼッションエンド",,,,,,
="0:11:18:37","筑波大学",,,,,,
="0:11:45:70","ポゼッションスタート",,,,,,
="0:11:45:70","筑波大学",,,,,,
="0:12:24:97","ポゼッションエンド",,,,,,
="0:12:24:97","筑波大学",,,,,,
="0:12:30:35","ポゼッションスタート",,,,,,
="0:12:30:35","筑波大学",,,,,,
="0:12:46:19","ポゼッションエンド",,,,,,
="0:12:46:19","筑波大学",,,,,,
="0:14:13:98","ポゼッションスタート",,,,,,
="0:14:13:98","筑波大学",,,,,,
="0:14:21:16","ポゼッションエンド",,,,,,
="0:14:21:16","筑波大学",,,,,,
="0:14:27:93","ポゼッションスタート",,,,,,
="0:14:27:93","筑波大学",,,,,,
="0:14:43:35","ポゼッションエンド",,,,,,
="0:14:43:35","筑波大学",,,,,,
="0:15:21:95","ポゼッションスタート",,,,,,
="0:15:21:95","相手チーム",,,,,,
="0:15:27:76","ポゼッションエンド",,,,,,
="0:15:27:76","相手チーム",,,,,,
="0:15:35:83","ポゼッションスタート",,,,,,
="0:15:35:83","相手チーム",,,,,,
="0:15:42:24","ポゼッションエンド",,,,,,
="0:15:42:24","相手チーム",,,,,,
="0:16:00:72","ポゼッションスタート",,,,,,
="0:16:00:72","筑波大学",,,,,,
="0:16:02:42","ポゼッションエンド",,,,,,
="0:16:02:42","筑波大学",,,,,,
="0:16:03:86","ポゼッションスタート",,,,,,
="0:16:03:86","相手チーム",,,,,,
="0:16:06:90","ポゼッションエンド",,,,,,
="0:16:06:90","相手チーム",,,,,,
="0:16:14:17","ポゼッションスタート",,,,,,
="0:16:14:17","相手チーム",,,,,,
="0:16:36:93","ポゼッションエンド",,,,,,
="0:16:36:93","相手チーム",,,,,,
="0:16:40:30","ポゼッションスタート",,,,,,
="0:16:40:30","筑波大学",,,,,,
="0:17:12:59","ポゼッションエンド",,,,,,
="0:17:12:59","筑波大学",,,,,,
="0:17:52:20","ポゼッションスタート",,,,,,
="0:17:52:20","筑波大学",,,,,,
="0:17:58:91","ポゼッションエンド",,,,,,
="0:17:58:91","筑波大学",,,,,,
="0:18:02:21","ポゼッションスタート",,,,,,
="0:18:02:21","筑波大学",,,,,,
="0:18:28:77","ポゼッションエンド",,,,,,
="0:18:28:77","筑波大学",,,,,,
="0:18:53:83","ポゼッションスタート",,,,,,
="0:18:53:83","筑波大学",,,,,,
="0:19:08:78","ポゼッションエンド",,,,,,
="0:19:08:78","筑波大学",,,,,,
="0:19:14:05","ポゼッションスタート",,,,,,
="0:19:14:05","筑波大学",,,,,,
="0:19:36:94","ポゼッションエンド",,,,,,
="0:19:36:94","筑波大学",,,,,,
="0:21:14:44","ポゼッションスタート",,,,,,
="0:21:14:44","筑波大学",,,,,,
="0:21:16:64","ポゼッションエンド",,,,,,
="0:21:16:64","筑波大学",,,,,,
="0:21:18:81","ポゼッションスタート",,,,,,
="0:21:18:81","相手チーム",,,,,,
="0:21:22:41","ポゼッションエンド",,,,,,
="0:21:22:41","相手チーム",,,,,,
="0:21:24:55","ポゼッションスタート",,,,,,
="0:21:24:55","筑波大学",,,,,,
="0:21:53:68","ポゼッションエンド",,,,,,
="0:21:53:68","筑波大学",,,,,,
="0:21:59:95","ポゼッションスタート",,,,,,
="0:21:59:95","筑波大学",,,,,,
="0:22:03:52","ポゼッションエンド",,,,,,
="0:22:03:52","筑波大学",,,,,,
="0:22:12:29","ポゼッションスタート",,,,,,
="0:22:12:29","筑波大学",,,,,,
="0:22:18:13","ポゼッションエンド",,,,,,
="0:22:18:13","筑波大学",,,,,,
="0:22:26:61","ポゼッションスタート",,,,,,
="0:22:26:61","筑波大学",,,,,,
="0:23:35:71","ポゼッションエンド",,,,,,
="0:23:35:71","筑波大学",,,,,,
="0:23:38:78","ポゼッションスタート",,,,,,
="0:23:38:78","筑波大学",,,,,,
="0:23:46:05","ポゼッションエンド",,,,,,
="0:23:46:05","筑波大学",,,,,,
="0:23:57:27","ポゼッションスタート",,,,,,
="0:23:57:27","筑波大学",,,,,,
="0:23:59:37","ポゼッションエンド",,,,,,
="0:23:59:37","筑波大学",,,,,,
="0:24:33:10","ポゼッションスタート",,,,,,
